Quicker SKY Data Test 
ID,Temperature (degC),Pressure (Pa),Humidity (%),Hdop,Vdop,Time
5,8.5,812.7306580754469,26.254227968101663,0.94,1.53,11:23:48.908384
16,8.58,812.682270895182,26.16104703170621,0.94,1.53,11:23:58.907121
27,7.65,812.6239420022598,27.213813553487718,0.94,1.53,11:24:08.909793
38,7.38,812.7141025824056,28.51825324229027,0.93,1.53,11:24:18.918939
49,7.67,812.820821894007,26.02776210724772,0.93,1.53,11:24:28.918727
60,8.21,812.6763630704098,24.989703602202994,0.93,1.53,11:24:38.906853
71,8.57,812.625938253139,24.65455479488,0.93,1.53,11:24:48.911124
82,8.8,812.2188797367327,23.67412386364756,0.93,1.53,11:24:58.913705
93,9.01,811.875414106204,22.1458315475636,0.93,1.52,11:25:08.913137
104,8.18,811.8250951497904,22.68882518441387,0.93,1.52,11:25:18.908919
115,7.91,811.8864063389326,23.726893798898868,0.93,1.52,11:25:28.915244
126,7.48,811.8231687506699,24.48459831067314,0.93,1.52,11:25:38.913038
137,6.98,811.7984404388357,24.33625685838565,0.93,1.52,11:25:48.912830
148,7.47,811.7244820127619,23.54320190309901,0.93,1.52,11:25:58.910749
159,7.69,811.7569741185894,23.013171884412404,0.93,1.52,11:26:08.915748
170,7.91,811.8309534387256,22.653239097557236,0.93,1.52,11:26:18.913705
181,7.76,811.8150594973105,22.641461811578473,0.87,1.49,11:26:28.930579
192,8.02,811.7755820383841,23.154970504296543,0.87,1.49,11:26:38.911607
203,8.15,811.7053308504501,22.718362569539362,0.87,1.49,11:26:48.915273
214,8.42,811.7220333353653,22.384295483474112,0.87,1.48,11:26:58.918117
225,9.16,811.6762537516356,21.786757568898167,0.87,1.48,11:27:08.917742
236,9.53,811.7913627634741,21.407197778535192,0.87,1.48,11:27:18.913062
247,9.73,811.7712204863826,21.079733364034286,0.87,1.48,11:27:28.915374
258,9.78,811.7423585392849,20.552573673687647,1.0,1.91,11:27:38.914919
269,8.66,811.8197648148958,21.800623365967077,0.79,1.21,11:27:48.915634
280,8.35,811.8528069158862,22.13645663857964,0.76,1.2,11:27:58.913915
291,8.03,811.90987824866,22.751017009807246,0.86,1.48,11:28:08.918015
302,8.06,811.5615656075784,21.6868493029771,0.86,1.48,11:28:18.917566
313,8.25,811.9837139904956,22.08350899317095,0.86,1.48,11:28:28.916199
324,8.31,810.8572782863163,21.80815408383264,0.76,1.2,11:28:38.914264
335,8.44,810.8060660122551,20.978146131747042,0.76,1.2,11:28:48.917789
346,8.48,810.6212585671628,21.186906665834915,0.76,1.2,11:28:58.918941
357,8.71,810.7246526820029,20.31768913790263,0.76,1.19,11:29:08.917753
368,8.81,810.6905270381973,20.52432887485743,0.76,1.19,11:29:18.917430
379,8.5,810.8241130200463,21.01552759922085,0.76,1.19,11:29:28.920038
390,8.43,810.899787136906,21.59879124553561,0.76,1.19,11:29:38.918234
401,8.29,810.9111545465527,21.973799109693317,0.76,1.19,11:29:48.954641
412,8.21,810.8192624766184,21.999837958039137,0.85,1.31,11:29:58.919008
423,8.08,810.9911000226159,21.629205854662025,0.85,1.31,11:30:08.919212
434,7.91,810.9730349119839,21.533693585661513,0.85,1.31,11:30:18.918706
445,8.09,811.014461763939,22.402142520904768,0.76,1.19,11:30:28.919327
456,8.2,810.7377821411845,21.806569563763603,0.76,1.19,11:30:38.920211
467,8.36,810.9103895437712,22.232967722505038,0.76,1.19,11:30:48.919363
478,8.27,809.9009237337635,22.054400197755296,0.76,1.18,11:30:58.919170
489,8.47,809.9760744161749,21.830632605803572,0.76,1.18,11:31:08.918610
500,8.62,809.7930977933788,22.018320241925284,0.76,1.18,11:31:18.919940
511,8.68,809.8503227221564,20.962567943905754,0.89,1.31,11:31:28.920296
522,8.65,809.8121433603045,21.111763753138206,0.76,1.18,11:31:38.920942
533,8.71,809.8067017985875,20.836240039040153,0.76,1.18,11:31:48.918936
544,8.6,809.7100274778848,21.32467032707715,0.76,1.18,11:31:58.918970
555,8.23,809.9012232185576,20.79303120406915,0.76,1.18,11:32:08.918291
566,8.01,810.207766276142,21.763011037428267,0.76,1.18,11:32:18.918674
577,7.88,810.0119321511339,21.86441496884363,0.85,1.3,11:32:28.917323
588,7.77,809.8206427610015,21.323215990399035,0.85,1.3,11:32:38.918475
599,7.63,809.2830813274186,21.544472123620256,0.76,1.17,11:32:48.919291
610,7.66,809.7463193955487,21.60029300998453,0.76,1.17,11:32:58.918993
621,7.76,809.8943631807455,22.266834254532316,0.76,1.17,11:33:08.978622
632,7.88,809.6254500749444,21.68814042558243,0.76,1.17,11:33:18.919382
643,7.8,808.5921545771394,22.526459600574345,0.76,1.17,11:33:28.919270
654,7.88,808.7546164408855,21.97229379432542,0.76,1.17,11:33:38.919718
665,7.8,808.9395927598125,21.674325506727424,0.85,1.45,11:33:48.919719
676,7.87,808.7408392104417,21.42709583638077,1.04,1.84,11:33:58.920296
687,8.1,808.8828906282122,21.55459530452199,0.85,1.45,11:34:08.919554
698,8.2,808.8808247837892,21.35753940841263,0.85,1.45,11:34:18.921083
709,7.92,808.9426374000815,20.578354267160275,0.85,1.44,11:34:28.920399
720,7.97,808.9831417540477,21.35488682381423,0.85,1.44,11:34:38.919500
731,7.67,809.1011795977574,21.96333547137761,0.94,1.82,11:34:48.919765
742,7.68,809.0438975488361,22.065002302459742,0.94,1.82,11:34:58.921113
753,7.62,808.8925240549929,22.101467502975666,0.85,1.44,11:35:08.921896
764,7.71,809.0749122164411,22.46174624619131,0.85,1.44,11:35:18.921111
775,7.92,809.0240715885052,22.48808361211268,0.85,1.44,11:35:28.919428
786,7.7,808.5318374298156,21.80880916164411,0.85,1.44,11:35:38.921735
797,7.45,808.2937775851824,22.045502448351748,0.85,1.43,11:35:48.920824
808,7.33,808.2032252261183,22.872640691309662,0.85,1.43,11:35:58.922004
819,7.14,808.7678722590379,21.841574682035017,0.85,1.43,11:36:08.920100
830,7.43,810.6687660089025,22.727406375176937,0.85,1.43,11:36:18.922676
841,7.83,812.1073614245232,22.746810114062416,0.85,1.43,11:36:29.035110
852,8.06,812.7083841531578,24.704874433188092,0.94,1.81,11:36:38.920523
863,8.1,812.4646788357571,22.401955151801104,0.84,1.43,11:36:48.919199
874,8.28,812.6142273595138,22.59413423701748,0.94,1.81,11:36:58.926858
885,8.3,812.5274662819353,23.74230767920982,1.07,1.55,11:37:08.922795
896,8.59,812.7221329749914,24.94389255554762,1.32,2.41,11:37:18.921624
907,8.58,812.688366392969,23.419887495787133,0.94,1.81,11:37:28.918195
918,8.64,812.5798897320794,23.730639537588132,0.94,1.81,11:37:38.922132
929,8.45,812.6128924026614,22.855278620718522,0.94,1.81,11:37:48.921385
940,8.46,812.6917815567642,23.81054367107829,0.99,1.95,11:37:58.922056
951,8.37,812.6413187768892,21.999337646653817,0.94,1.81,11:38:08.919962
962,9.01,812.6498201144927,23.450482873685562,0.99,1.84,11:38:18.922890
973,9.01,812.5820596648066,22.065969556527918,0.94,1.8,11:38:28.922868
984,8.7,812.6076344287352,24.63335374010863,0.84,1.41,11:38:38.922536
Quicker SKY Data Test
